Geography,Date,Cumulative Deaths,Total Deaths Per 100000 (age-adjusted),Death Data As Of
United States,Nov  7 2020,242471,60.6,Feb 27 2025
United States,Oct 31 2020,233717,58.4,Feb 27 2025
United States,Oct 24 2020,226698,56.7,Feb 27 2025
United States,Oct 17 2020,220708,55.2,Feb 27 2025
United States,Oct 10 2020,215513,53.9,Feb 27 2025
United States,Oct  3 2020,210700,52.7,Feb 27 2025
United States,Sep 26 2020,206460,51.6,Feb 27 2025
United States,Sep 19 2020,202164,50.5,Feb 27 2025
United States,Sep 12 2020,197891,49.5,Feb 27 2025
United States,Sep  5 2020,193273,48.3,Feb 27 2025
United States,Aug 29 2020,188263,47.1,Feb 27 2025
United States,Aug 22 2020,182524,45.6,Feb 27 2025
United States,Aug 15 2020,176150,44.1,Feb 27 2025
United States,Aug  8 2020,168902,42.3,Feb 27 2025
United States,Aug  1 2020,161054,40.3,Feb 27 2025
United States,Jul 25 2020,152769,38.2,Feb 27 2025
United States,Jul 18 2020,144540,36.2,Feb 27 2025
United States,Jul 11 2020,137374,34.4,Feb 27 2025
United States,Jul  4 2020,131604,32.9,Feb 27 2025
United States,Jun 27 2020,127064,31.8,Feb 27 2025
United States,Jun 20 2020,123229,30.8,Feb 27 2025
United States,Jun 13 2020,119385,29.9,Feb 27 2025
United States,Jun  6 2020,115158,28.8,Feb 27 2025
United States,May 30 2020,110112,27.5,Feb 27 2025
United States,May 23 2020,103952,26,Feb 27 2025
United States,May 16 2020,96723,24.2,Feb 27 2025
United States,May  9 2020,87494,21.9,Feb 27 2025
United States,May  2 2020,76271,19.1,Feb 27 2025
United States,Apr 25 2020,63071,15.8,Feb 27 2025
United States,Apr 18 2020,47546,11.9,Feb 27 2025
United States,Apr 11 2020,30345,7.6,Feb 27 2025
United States,Apr  4 2020,14039,3.5,Feb 27 2025
United States,Mar 28 2020,3926,1,Feb 27 2025
United States,Mar 21 2020,715,0.2,Feb 27 2025
United States,Mar 14 2020,129,0,Feb 27 2025
United States,Mar  7 2020,69,0,Feb 27 2025
United States,Feb 29 2020,31,0,Feb 27 2025
United States,Feb 22 2020,22,0,Feb 27 2025
