jurisdiction,date,cumulative_deaths,total_deaths_per_100000_(age-adjusted),death_data_as_of,sewershed_id,reporting_jurisdiction,county,population_served,current_virus_levels_in_wastewater_by_site_(in_%),percent_change_in_the_last_15_days,percent_of_wastewater_samples_with_detectable_virus,viral_activity_level
United States,2021-05-22,592201,147.6,Feb 27 2025,,,,,,,,
United States,2021-05-15,588963,146.8,Feb 27 2025,,,,,,,,
United States,2021-05-08,585285,145.9,Feb 27 2025,,,,,,,,
United States,2021-05-01,581279,144.9,Feb 27 2025,,,,,,,,
United States,2021-04-24,577114,143.9,Feb 27 2025,,,,,,,,
United States,2021-04-17,572513,142.7,Feb 27 2025,,,,,,,,
United States,2021-04-10,568063,141.6,Feb 27 2025,,,,,,,,
United States,2021-04-03,563750,140.6,Feb 27 2025,,,,,,,,
United States,2021-03-27,559553,139.5,Feb 27 2025,,,,,,,,
United States,2021-03-20,555092,138.4,Feb 27 2025,,,,,,,,
United States,2021-03-13,550199,137.2,Feb 27 2025,,,,,,,,
United States,2021-03-06,544474,135.8,Feb 27 2025,,,,,,,,
United States,2021-02-27,537743,134.1,Feb 27 2025,,,,,,,,
United States,2021-02-20,529089,132.0,Feb 27 2025,,,,,,,,
United States,2021-02-13,518282,129.3,Feb 27 2025,,,,,,,,
United States,2021-02-06,504763,126.0,Feb 27 2025,,,,,,,,
United States,2021-01-30,487729,121.8,Feb 27 2025,,,,,,,,
United States,2021-01-23,467407,116.7,Feb 27 2025,,,,,,,,
United States,2021-01-16,443720,110.9,Feb 27 2025,,,,,,,,
United States,2021-01-09,418028,104.5,Feb 27 2025,,,,,,,,
United States,2021-01-02,392054,98.0,Feb 27 2025,,,,,,,,
United States,2020-12-26,367209,91.8,Feb 27 2025,,,,,,,,
United States,2020-12-19,343845,86.0,Feb 27 2025,,,,,,,,
United States,2020-12-12,321531,80.4,Feb 27 2025,,,,,,,,
United States,2020-12-05,300618,75.2,Feb 27 2025,,,,,,,,
United States,2020-11-28,282073,70.5,Feb 27 2025,,,,,,,,
